"Star_key":"S_NAME":"distance":"EFFECTIVE TEMPERATURE":"Relative Mass":"Star Radius":"RELATIVE LUMINOSITY":"Type Of Star"
372:"Bossangoa":782,67:5216:1:1,07:0,99:"G5V"
1048:"Hammer":396,507:3422:0,3:0,22:NA:"M1V"
2862:"Dersidatz":481,729:2788:0,3:0,43:0,08:"M4V"
1495:"Linhauiguan":426,015:2770:0,1:0,31:0,02:"M5V"
3051:"Gurgaldar":1413,278:2622:0,1:0,53:0,03:"M6V"
369:"Borgan's Rift":425,268:3866:0,5:0,95:0,45:"K7V"
466:"Caph":12,929:2411:0,3:0,42:0,02:"M8V"
1898:"Nouveau Toulouse":290,756:NA:0,1:0,59:0,02:"M0V"
1496:"Linneus":450,357:4429:0,7:0,93:0,16:"K1V"
3068:"Kefya":1049,379:NA:0,3:0,12:0,07:"M0V"
1641:"McComb":229,639:4284:0,7:0,75:NA:"K5V"
1740:"Molino":479,669:4083:0,7:0,76:0,2:"K3V"
35:"Aer":195,571:2599:0,2:0,53:0,08:"M0V"
1686:"Merope":387,431:4585:0,5:0,74:0,16:"K3V"
1663:"Meinrad":401,763:4153:0,8:0,87:0,2:"K5V"
2505:"Techne's Revenge":483,669:4966:0,8:0,94:0,58:"K0V"
175:"Arlanda":484,991:2752:0,3:0,48:0,01:"M2V"
2099:"Quincy":349,064:5493:1:1,14:NA:"G4V"
2313:"Shinonoi":96,401:2632:0,1:0,33:0,02:"M4V"
2063:"Pressby":215,809:4437:0,6:0,91:0,11:"K1V"
2111:"Raldamax":612,919:2768:0,1:0,38:0,04:"M1V"
1773:"Murchison":77,291:3735:0,7:0,93:0,09:"K2V"
2615:"Ugland":567,986:NA:0,3:0,17:0,07:"M2V"
806:"Enif":517,167:2480:0,2:0,46:0,03:"M2V"
514:"Chakachamna":350,362:3844:0,5:0,8:0,38:"K0V"
348:"Blueys":670,64:2859:0,4:0,53:0,07:"M2V"
455:"Cammal":199,065:3551:0,3:0,25:0,05:"M1V"
2370:"Sol":0:NA:0,1:NA:0,04:"M4V"
86:"Alorton":363,924:3663:0,4:0,51:0,03:"M0V"
258:"Barcelona":459,609:4612:0,5:0,81:0,45:"K3V"
1712:"Minderoo":298,972:3183:0,3:0,68:0,01:"M1V"
669:"Dayr Khuna":227,065:3987:0,8:0,8:0,45:"K3V"
1339:"Keytesville":376,33:3112:0,1:0,15:0,03:"M2V"
1575:"Maldonado":384,806:NA:0,2:0,3:0,03:"M6V"
461:"Canonbie":139,28:4151:0,6:0,74:0,4:"K5V"
2059:"Prato":404,055:4509:0,7:0,96:0,1:"K3V"
1588:"Mangzhangdian":447,895:3154:0,4:0,41:0,07:"M3V"
2790:"Yamarovka":296,32:2649:0,4:0,17:0,04:"M5V"
505:"Ceram":546,033:2497:0,2:0,41:0,01:"M4V"
1469:"Layover":205,173:2505:0,4:0,52:NA:"M5V"
2550:"Tinaca":282,675:3757:0,6:0,96:0,27:"K2V"
748:"Dubhe":72,383:3222:0,3:0,7:0,02:"M1V"
2799:"Yidtall":480,298:NA:0,3:0,39:0,06:"M6V"
2860:"Baccalieu":525,243:2516:0,1:0,35:0,04:"M8V"
760:"Dyev":41,191:3879:0,6:0,72:0,19:"K5V"
2502:"Taygeta":356,059:4593:0,8:0,87:0,26:"K2V"
2420:"Stratford":527,715:3174:0,4:0,3:0,03:"M0V"
429:"Caerlaverock":490,109:3259:0,1:0,47:0,06:"M2V"
2136:"Remshield":170,49:3369:0,1:0,41:0,02:"M2V"
1996:"Pattonsbrug":377,185:2920:0,3:0,55:0,06:"M3V"
3057:"Malador Cluster":1113,246:2625:0,2:0,26:0,05:"M4V"
2419:"Strandfontein":451,661:3954:0,5:0,93:0,31:"K4V"
1047:"Hamilton":268,352:4728:0,5:0,86:0,51:"K2V"
95:"Alta":290,073:NA:0,9:1,04:1,22:"G4V"
2384:"Spencer":489,507:2624:0,3:0,54:0,06:"M5V"
1629:"Mauckport":430,337:5822:0,9:1,05:0,84:"G2V"
1987:"Paris":197,591:3297:0,2:0,12:0,03:"M1V"
576:"Colia":363,701:2795:0,2:0,41:0,04:"M2V"
1070:"Hazeldean":441,447:3390:0,3:0,32:0,02:"M2V"
1827:"New Exford":279,265:5607:0,8:0,97:0,98:"G4V"
2645:"Valasha":596,118:2497:0,4:0,52:0,01:"M7V"
1539:"Luthien":301,403:2619:0,2:0,31:0,02:"M3V"
1886:"Noh-wan Hohm":236,324:2535:0,1:0,6:0,07:"M1V"
1355:"Kimi":413,929:2830:0,1:0,39:0,06:"M1V"
2225:"San Nicolas":425,085:5362:0,8:1,09:1,23:"G5V"
620:"Crellacor":477,107:3933:0,5:0,8:0,13:"K5V"
1387:"Kokpekty":511,715:2890:0,1:0,12:0,02:"M0V"
1662:"Meinhof":245,699:2924:0,3:0,26:0,08:"M2V"
780:"El Dorado":303,414:2758:0,2:0,25:0,05:"M4V"
2926:"Tyrrhenia":649,819:2485:0,4:0,51:0,01:"M8V"
2209:"Sakai":233,195:3965:0,5:0,87:0,18:"K0V"
1618:"Marsalle":334,917:2777:0,3:0,27:0,08:"M0V"
1744:"Monistrol":201,714:2768:0,2:0,08:0,01:"M3V"
2253:"Sawyer":465,727:2652:0,2:0,5:0,07:"M2V"
2577:"Treeline":420,379:3289:0,3:0,08:0,04:"M0V"
2685:"Victralla":442,245:5461:0,8:1,11:0,66:"G2V"
1211:"Irurzun":210,953:4092:0,7:0,89:0,47:"K4V"
193:"Ashkum":150,856:2512:0,3:0,48:0,05:"M5V"
2999:"Köningsberg":1228,04:2453:0,3:0,45:0,05:"M5V"
1345:"Kiesen":222,224:2663:0,3:0,26:0,04:"M4V"
2152:"Richvale":326,784:4503:0,6:0,77:0,41:"K3V"
1872:"Ningpo":86,028:3138:0,2:0,64:0,07:"M3V"
798:"Emar":473,791:2793:0,2:0,58:0,03:"M3V"
504:"Centavido":449,868:2426:0,4:0,47:0,04:"M7V"
2993:"Goslar":999,013:3933:0,5:0,91:0,52:"K3V"
2677:"Vermezzo":396,42:2746:0,4:0,27:0,05:"M0V"
2218:"Saltillo":321,509:5509:1:1,06:1,26:"G2V"
1531:"Luderitz":626,416:5801:0,8:1,03:1,1:"G2V"
917:"Galatea":63,663:NA:0,3:0,43:0,08:"M8V"
2543:"Tiflis":404,578:2553:0,4:0,55:0,08:"M2V"
1818:"New Britain":47,967:2500:0,4:0,48:0,03:"M3V"
1573:"Malazan":286,051:3228:0,3:0,09:0,01:"M3V"
116:"Ambrose":483,665:3335:0,3:0,53:0,04:"M1V"
19:"Achton":660,516:5611:1:1,04:1,12:"G2V"
958:"Girondas":448,547:2671:0,3:0,44:0,05:"M1V"
180:"Armstrong":488,465:3020:0,3:0,26:0,05:"M2V"
1019:"Gunthar":385,132:3195:0,2:0,46:0,07:"M3V"
1829:"New Galicia":424,916:4787:0,8:0,88:0,59:"K2V"
3081:"SLSC A0V.4900":1008,835:3878:0,6:0,93:0,32:"K7V"
853:"Farwell":161,619:2990:0,2:0,39:0,06:"M2V"
1347:"Kigamboni":322,903:5360:0,8:1,12:0,84:"G4V"
241:"Baldur":204,368:NA:0,7:0,95:0,09:"K0V"
15:"Acamar":55,235:2543:0,3:0,7:0,02:"M8V"
2381:"Soverzene":328,893:2558:0,3:0,09:0,03:"M5V"
255:"Banori":509,596:4010:0,6:0,78:0,27:"K0V"
457:"Campertown":159,419:2878:0,4:0,58:0,03:"M4V"
664:"Darius":214,789:5686:1:1,05:0,8:"G2V"
1660:"Meilen":227,712:2692:0,2:0,32:0,05:"M5V"
2640:"Vaajakoski":197,836:3880:0,7:0,92:0,17:"K2V"
803:"Enders Cluster":452,549:4838:0,6:0,77:0,2:"K2V"
902:"Freisland":263,241:2423:0,3:0,47:0,05:"M4V"
2035:"Pitkin":498,656:2620:0,2:0,63:0,07:"M5V"
2752:"Wetumpka":552,376:2772:0,3:0,39:0,04:"M5V"
525:"Chateau":402,634:2569:0,1:0,59:0,07:"M3V"
2738:"Weippe":441,667:3079:0,2:0,61:0,06:"M3V"
2977:"Granada":1344,231:5320:0,9:1,03:0,65:"G4V"
2269:"Second Chance":131,766:2520:0,3:0,08:0,02:"M2V"
2748:"Westerstede":268,316:2996:0,3:0,29:0,06:"M3V"
2383:"Sparta":302,14:4549:0,6:0,76:0,42:"K2V"
2686:"Vihtijarvi":383,541:2470:0,4:0,58:0,03:"M3V"
573:"Coldbrook":440,369:3406:0,3:0,38:0,06:"M2V"
1529:"Lucianca":189,926:2572:0,1:0,58:0,04:"M6V"
3108:"Death's Gaze Cluster":1777,081:5622:1:NA:0,72:"G2V"
3117:"Midden":658,395:4036:0,8:0,82:0,17:"K3V"
2431:"Sulafat":190,491:2672:0,4:0,59:0,07:"M7V"
2670:"Vendrell":340,039:2662:0,2:0,51:0,04:"M2V"
918:"Galatia":91,836:3717:0,8:0,85:0,33:"K5V"
305:"Beowulf":522,195:4020:0,7:0,94:0,43:"K5V"
3004:"Stettin":1247,706:3157:0,1:0,14:NA:"M0V"
2118:"Randar":186,316:3895:0,7:0,88:0,38:"K7V"
2286:"Seven Lands":526,169:2613:0,2:0,57:0,01:"M2V"
1703:"Milligan":476,671:2556:0,2:NA:0,02:"M0V"
2087:"Qualip":202,732:5378:0,8:1,12:0,73:"G4V"
2279:"Senftenberg":208,994:3831:0,6:0,93:0,29:"K6V"
1929:"Okaya":115,363:3986:0,5:0,8:0,25:"K6V"
2164:"Rochester":226,969:2713:0,2:0,07:0,04:"M0V"
2304:"Sheridan":187,744:4102:0,6:0,95:0,58:"K5V"
2176:"Roscoff":548,507:2462:0,3:0,64:0,02:"M5V"
166:"Arc-Royal":283,494:2819:0,2:0,32:0,05:"M2V"
1845:"New Rhodes":103,576:3390:0,3:0,41:0,02:"M2V"
110:"Alya":100,16:3085:0,2:0,46:0,06:"M2V"
2528:"The Edge":408,464:2890:0,3:0,14:0,08:"M4V"
2626:"Umijiri":163,281:4413:0,7:0,93:0,21:"K4V"
1234:"Jápminboddu":555,547:5643:1:1,07:1,44:"G2V"
1714:"Minette":484,203:2569:0,1:0,24:NA:"M2V"
1894:"Northsun":547,025:2500:0,3:0,34:0,06:"M4V"
266:"Basalt":72,239:2949:0,4:0,34:0,07:"M3V"
686:"Demeter":114,954:4101:0,6:0,77:0,13:"K4V"
1622:"Masterton":471,527:3119:0,4:0,47:0,04:"M3V"
1441:"Lackhove":474,296:2504:0,4:NA:0,03:"M2V"
2267:"Scudder":218,398:2563:0,2:0,5:0,06:"M5V"
1534:"Lukla":231,841:3111:0,1:0,39:0,05:"M3V"
312:"Beta Mensae":342,469:2585:0,1:0,55:0,03:"M5V"
3077:"Beta Salandor":1334,29:4760:0,7:0,95:0,35:"K2V"
103:"Althea's Choice":510,154:2672:0,3:0,08:0,01:"M3V"
949:"Giausar":209,521:2658:0,2:0,39:0,03:"M5V"
2771:"Wonju":492,495:2909:0,4:0,1:0,07:"M3V"
1672:"Mendham":375,221:2457:0,4:0,27:0,04:"M4V"
1179:"Ilion":286,752:3239:0,2:0,55:0,05:"M2V"
380:"Brabent":259,561:3047:0,1:0,28:0,02:"M3V"
1335:"Kessel":84,732:2623:0,3:0,39:0,02:"M1V"
587:"Conquista":307,25:2418:0,4:0,12:0,05:"M6V"
2718:"Wapakoneta":248,167:2829:0,4:0,65:0,06:"M4V"
286:"Beenleigh":325,662:3846:0,8:0,93:0,19:"K0V"
3130:"Appian":468,816:2788:0,1:0,4:0,08:"M4V"
2574:"Towne":69,721:5432:1:1,14:1,26:"G4V"
661:"Danxian":347,841:3764:0,5:0,77:0,23:"K0V"
617:"Crawford":344,456:3974:0,8:0,87:0,29:"K2V"
2402:"Starshine":375,56:2934:0,4:0,37:0,01:"M2V"
564:"Claybrooke":372,788:4653:0,7:0,93:0,11:"K3V"
2452:"Sweet Water":487,386:2916:0,1:0,09:0,06:"M2V"
1270:"Jungar Qi":282,323:4304:0,5:0,74:0,17:"K2V"
619:"Cree":311,687:2649:0,2:0,36:0,07:"M3V"
835:"Ewanrigg":438,255:5414:1:1,11:1,39:"G4V"
3166:"Wheeler":534,459:3196:0,4:0,25:0,04:"M1V"
4:"Abagnar":493,649:5473:0,9:1,1:NA:"G2V"
2836:"Zhaomaon":428,931:4151:0,7:0,91:0,49:"K3V"
819:"Errai":52,627:2754:0,3:0,28:NA:"M1V"
108:"Altorra":263,51:2813:0,3:0,49:0,01:"M5V"
311:"Beta":414,343:2519:0,1:0,68:0,07:"M4V"
911:"Futuna":283,493:2793:0,3:0,17:0,04:"M1V"
1333:"Kervil":57,241:3382:0,1:0,61:0,01:"M1V"
1302:"Kathil":226,802:2793:0,3:0,45:0,02:"M3V"
1826:"New Delos":145,736:4053:0,5:0,75:0,53:"K6V"
739:"Dreadlord":586,05:4564:0,7:0,81:0,17:"K3V"
2947:"Hoard":1880,135:2967:0,3:0,55:0,05:"M1V"
1716:"Minowa":241,777:2416:0,3:0,12:0,01:"M7V"
120:"Ammon":659,668:3225:0,4:0,69:0,06:"M0V"
482:"Carnwath":103,787:5538:0,9:1,04:0,99:"G5V"
2917:"Placida":504,699:3315:0,1:0,2:0,08:"M1V"
2098:"Quimper":449,443:2647:0,1:0,44:0,02:"M4V"
1980:"Panzyr":438,292:3068:0,4:0,39:0,04:"M2V"
2606:"Turtle Bay":429,02:2444:0,3:0,2:0,01:"M1V"
821:"Escobas":251,033:2857:0,3:0,31:0,04:"M1V"
691:"Denizli":365,293:5521:0,8:1,06:0,83:"G2V"
513:"Chahar":394,275:5734:0,9:1,13:1,21:"G2V"
2222:"Salvende":698,133:3182:0,2:0,25:0,05:"M3V"
2715:"Wallacia":270,573:2863:0,2:0,45:0,08:"M1V"
2807:"Yunnah":129,872:2549:0,3:0,13:NA:"M3V"
1043:"Halmyre Deans":159,641:5217:0,8:1,05:1,23:"G4V"
624:"Crimond":240,578:2932:0,3:0,28:0,01:"M5V"
688:"Deneb Algedi":48,662:2744:0,4:NA:0,06:"M1V"
1814:"New Aragon":112,307:5301:0,9:0,97:0,91:"G4V"
2328:"Sichuan":114,02:2537:0,3:0,59:0,06:"M6V"
2134:"Relevow":200,966:2919:0,4:0,17:0,06:"M2V"
313:"Beta Regulus":342,028:2507:0,2:0,14:0,07:"M7V"
106:"Altoona":550,585:2523:0,3:0,29:0,06:"M4V"
1723:"Mississauga":370,667:NA:0,2:0,58:0,07:"M1V"
1652:"Medron":439,319:2485:0,1:0,63:0,06:"M2V"
2216:"Salford":527,031:5407:1:1,07:1,44:"G5V"
299:"Benedict":473,428:2840:0,3:0,64:0,02:"M2V"
74:"Alkaid":105,182:2796:0,4:0,68:0,04:"M3V"
2100:"Quines":763,865:3217:0,3:0,21:0,05:"M3V"
2554:"Tiruppur":346,676:5666:1:1,02:0,8:"G3V"
1228:"Jacomarle":382,846:2649:0,2:0,09:0,03:"M6V"
76:"Alkes":118,845:5451:0,9:1,1:0,93:"G5V"
1640:"McAlister":411,138:2601:0,1:0,66:0,01:"M5V"
967:"Glenmora":290,236:2811:0,3:0,49:0,01:"M5V"
2673:"Verdigreis":498,288:4222:0,5:0,85:0,27:"K3V"
2833:"Zempoatlepetl":253,688:2510:0,4:0,33:0,05:"M3V"
2031:"Pinard":426,467:2811:0,2:0,42:0,07:"M5V"
1950:"Ormal":425,509:2458:0,4:0,51:0,03:"M2V"
446:"Calpaca":215,775:2433:0,3:0,46:0,05:"M5V"
2302:"Shenwan":241,813:3861:0,5:0,8:0,21:"K7V"
2312:"Shimosuwa":143,006:2851:0,2:0,29:0,03:"M2V"
2643:"Vakarel":379,267:2558:0,1:0,19:0,01:"M1V"
2378:"Sorsk":740,099:4001:0,6:0,89:0,31:"K6V"
1516:"Lopez":332,545:2986:0,1:0,67:0,03:"M3V"
977:"Goldlure":289,919:2620:0,4:0,44:0,07:"M3V"
1429:"Kvistgard":365,517:2502:0,3:0,39:0,08:"M1V"
412:"Buchlau":98,187:2900:0,3:0,52:0,06:"M0V"
208:"Aucara":344,905:3853:0,5:0,9:0,08:"K6V"
895:"Fort Loudon":211,565:3312:0,3:0,48:0,05:"M2V"
774:"Eguilles":236,068:2949:0,3:0,54:0,04:"M2V"
2471:"Tallassee":146,829:2565:0,3:0,48:0,06:"M5V"
1890:"Norfolk":285,633:3931:0,7:0,95:0,11:"K6V"
214:"Austerlitz":530,094:3896:0,6:0,72:0,09:"K7V"
2688:"Villanueva":359,382:3855:0,6:0,89:0,52:"K3V"
861:"Ferleiten":354,742:2729:0,2:0,22:0,06:"M2V"
812:"Epsilon":321,732:2500:0,4:NA:0,04:"M4V"
2072:"Procyon":12,159:2652:0,1:0,18:NA:"M4V"
1059:"Harpster":228,623:2631:0,2:0,18:0,06:"M5V"
2319:"Shiro":293,99:4680:0,6:0,79:0,47:"K2V"
1060:"Harrow's Sun":271,312:3038:0,3:0,61:0,04:"M2V"
789:"Elidere":290,068:2450:0,3:0,46:0,02:"M8V"
2804:"Ype-Jhu":688,329:4111:0,8:0,73:0,49:"K6V"
84:"Alnadal":158,599:4441:0,7:0,8:0,17:"K3V"
1405:"Koulen":436,717:5431:0,9:0,99:1,47:"G2V"
1944:"Orbisonia":215,934:3024:0,3:0,18:0,04:"M1V"
470:"Caracol":483,507:4288:0,7:0,92:0,16:"K2V"
888:"Flychenia":208,019:4682:0,5:0,92:0,1:"K3V"
868:"Fiery Plains":553,003:2993:0,1:0,61:0,05:"M1V"
